FOIA,NAID,RGN,"Civilian
/Miliatry",EN,CID,Stack Area,Row,Compartment,Shelf,Box,Title,Type,篩選（翻拍時間估計：箱/2hr.）,Note,,
,1429083,84,,UD 863,18,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Legation and Consul General,,,,,
,1429082,84,,UD 863,17,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Embassy and Consul General,,,,,
,1429080,84,,UD 863,15,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous,,,,,
,1429079,84,,UD 863,14,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Correspondence Sent to Legation,,,,,
,1429078,84,,UD 863,13,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Correspondence Sent to Legation,,,,,
,1429077,84,,UD 863,12,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Correspondence Sent to Legation,,,,,
,1429076,84,,UD 863,11,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Correspondence Sent to Legation,,,,,
,1429075,84,,UD 863,10,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Correspondence Sent to Legation,,,,,
,1429074,84,,UD 863,9,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Correspondence Sent to Legation,,,,,
,1429073,84,,UD 863,8,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Legation and Consul - General,,,,,
,1429072,84,,UD 863,7,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous and Petty Officials,,,,,
,1429071,84,,UD 863,6,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous and Petty Officials,,,,,
,1429070,84,,UD 863,5,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] General Circular Instructions,,,,,
,1429069,84,,UD 863,4,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous and Official,,,,,
,1429068,84,,UD 863,3,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] American Seamen Relieved,,,,,
,1741060,84,,UD 863,2,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Correspondence Taiwan,,,,,
,1429248,84,,UD 863,2,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Correspondence Taiwan,,,,,
,1429067,84,,UD 863,2,350,043,028/02-030/03,,1-182,[Formosa [Taiwan] - Taipei - Consulate] Miscellaneous Record Book,,,,,
,1429066,84,,UD 863,1,350,043,028/02-030/03,,1-182,"[Formosa [Taiwan] - Taipei - Consulate] Treasury Fee
Series: United States Consular Records for Taipei, Taiwan, ca. 1887 - 1912
Record Group 84: Records of the Foreign Service Posts of the Department of State, 1788 - ca. 1991",,,,,
,,,,,,,,,,,,,,,,
1742009,,469,,"UD 409

",,250,,,,1-267,"China and Taiwan Subject Files, 1948 - 1961
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963
"," Photographic Print
 / Paper","1-267 全拍

1 國民政府與美經濟、國防、農業合作資料
2 經濟、農業
3 經濟建設、地圖
4-10 經濟安定委員會（Economic Stabilization Board of Taiwan）
10 台灣美援聯合會 (Taiwan Joint Committee on United States Aid)
11-39美援品項(農產、能源、礦物、器械、紡織、造船等)
39 通訊
40 國防
41 國防、防洪、經濟狀況
42 經濟數據
43-45 經濟狀況
45-46 教育
47-59 金融","59-60 醫療健康
60-66 工業
66-67  情報、勞工、立法
67-69  人事管理
69-70  政治
70-72   人口、採購


已調1-72
   ","

","
"
,2536625,469,,UD 409,223,250,076,001/01-005/05,,43-267,"Education -- National Taiwan University
Series: China and Taiwan Subject Files, 1948 - 1961
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,2535877,469,,UD 409,109,250,076,001/01-005/05,,43-267,"Finance -- Taiwan Financial Statistics Monthly -- July-December 1955
Series: China and Taiwan Subject Files, 1948 - 1961
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,2535876,469,,UD 409,109,250,076,001/01-005/05,,43-267,Finance -- Taiwan Financial Statistics Monthly -- January-June 1955,,,,,
,2535875,469,,UD 409,109,250,076,001/01-005/05,,43-267,Finance -- Taiwan Financial Statistics Monthly -- 1954,,,,,
,2535859,469,,UD 409,106,250,076,001/01-005/05,,43-267,Economic Conditions -- Index to Taiwan Economic Review,,,,,
,2535856,469,,UD 409,106,250,076,001/01-005/05,,43-267,Economic Conditions -- Problem on Economic Stabilization on Taiwan,,,,,
,2535792,469,,UD 409,91,250,076,001/01-005/05,,43-267,Transportation -- Railroads -- Taiwan Railroad - Maps,,,,,
,2535790,469,,UD 409,91,250,076,001/01-005/05,,43-267,Transportation -- Railroads -- Taiwan Railroad,,,,,
,2535710,469,,UD 409,74,250,076,001/01-005/05,,43-262,Program -- Proposals for Aid to Taiwan,,,,,
,2535657,469,,UD 409,62,250,076,001/01-005/05,,43-267,Industry -- Meeting -- Taiwan Production Board,,,,,
,2535599,469,,UD 409,50,250,076,001/01-005/05,,43-267,Finance -- Taiwan Productive Enterprise Committee,,,,,
,2535565,469,,UD 409,43,250,076,001/01-005/05,,43-267,Economic Conditions -- Taiwan Economic Fact Book -- Additional Data (3 of 3),,,,,
,2535564,469,,UD 409,43,250,076,001/01-005/05,,43-267,Economic Conditions -- Taiwan Economic Fact Book -- Additional Data (2 of 3),,,,,
,2535563,469,,UD 409,43,250,076,001/01-005/05,,43-267,Economic Conditions -- Taiwan Economic Fact Book -- Additional Data (1 of 3),,,,,
,2535562,469,,UD 409,42,250,075,035,02-07,1-42,"Economic Conditions -- Taiwan Economic Data Book -- Supplements 1-8 (8 folders)
Series: China and Taiwan Subject Files, 1948 - 1961
Record Group 469: Records of U.S. Foreign Assistance Agencies, 1942 - 1963",,,,,
,2535561,469,,UD 409,42,250,075,035,02-07,1-42,Economic Conditions -- Taiwan Economic Data Book,,,,,
,2535560,469,,UD 409,41,250,075,035,02-07,1-42,Economic Conditions -- Taiwan Economic Fact Book,,,,,
,2535547,469,,UD 409,39,250,075,035,02-07,1-42,Commodities -- Vessels - Reports - Taiwan Shipbuilding Corporation,,,,,
,2535543,469,,UD 409,38,250,075,035,02-07,1-42,"Commodities -- Vessels -- Taiwan Shipbuilding Corporation, 1952",,,,,
,2535522,469,,UD 409,34,250,075,035,02-07,1-42,Commodities -- Sugar -- Taiwan Sugar Project,,,,,
,2535521,469,,UD 409,34,250,075,035,02-07,1-42,"Commodities -- Sugar -- Taiwan Sugar Company, 1948-53",,,,,
,2535505,469,,UD 409,29,250,075,035,02-07,1-42,"Commodities -- Power -- Taiwan Power Company, 1948-50 (2 folders)",,,,,
,2535500,469,,UD 409,28,250,075,035,02-07,1-42,Commodities -- Power -- Taiwan Power Company,,,,,
,2535482,469,,UD 409,25,250,075,035,02-07,1-42,"Commodities -- Petroleum Resources of Taiwan - By Frank Reeves, September 1952",,,,,
,2535441,469,,UD 409,19,250,075,035,02-07,1-42,Commodities -- Fertilizer - Taiwan Fertilizer Company,,,,,
,,,,,,,,,,,,,,,,
7062857,,131,,"
UD 297",,230,037,021,01-02,1-4,"Records Relating to International Banking Seized from the Bank of Taiwan, Ltd. of New York, 1943 - 1948
Record Group 131: Records of the Office of Alien Property, 1878 - 1966",,"日治時期台灣銀行資料
四箱全拍",,,
,7265342,131,,UD 297,4,230,037,021,01-02,1-4,"1937: [Reports to Federal Reserve Bank of N.Y. from July to December 1937] (Taiwan 437-A4)
Series: Records Relating to International Banking Seized from the Bank of Taiwan, Ltd. of New York, 1943 - 1948
Record Group 131: Records of the Office of Alien Property, 1878 - 1966",,,,,
,7265341,131,,UD 297,4,230,037,021,01-02,1-4,"1937: Reports to Federal Reserve Bank of N.Y. from Jan. 6, 1937 to June 30, 1937 (Taiwan 437-A4) [Folder 2 of 2]
Series: Records Relating to International Banking Seized from the Bank of Taiwan, Ltd. of New York, 1943 - 1948
Record Group 131: Records of the Office of Alien Property, 1878 - 1966",,,,,
,7265297,131,,UD 297,4,230,037,021,01-02,1-4,1937: [Reports to Federal Reserve Bank of N.Y. from July to December 1937] (Taiwan 437-A4),,,,,
,7265340,131,,UD 297,3,230,037,021,01-02,1-4,"1937: Reports to Federal Reserve Bank of N.Y. from Jan. 6, 1937 to June 30, 1937 (Taiwan 437-A4) [Folder 1 of 2]",,,,,
,7265308,131,,UD 297,1,230,037,021,01-02,1-4,"529-C1 Taiwan
Series: Records Relating to International Banking Seized from the Bank of Taiwan, Ltd. of New York, 1943 - 1948
Record Group 131: Records of the Office of Alien Property, 1878 - 1966",,,,,
,7265307,131,,UD 297,1,230,037,021,01-02,1-4,"529-B2 Taiwan
Series: Records Relating to International Banking Seized from the Bank of Taiwan, Ltd. of New York, 1943 - 1948
Record Group 131: Records of the Office of Alien Property, 1878 - 1966",,,,,
,7265263,131,,UD 297,1,230,037,021,01-02,1-4,"529-C1 Taiwan
Series: Records Relating to International Banking Seized from the Bank of Taiwan, Ltd. of New York, 1943 - 1948
Record Group 131: Records of the Office of Alien Property, 1878 - 1966",,,,,
,7265262,131,,UD 297,1,230,037,021,01-02,1-4,"529-B2 Taiwan
Series: Records Relating to International Banking Seized from the Bank of Taiwan, Ltd. of New York, 1943 - 1948
Record Group 131: Records of the Office of Alien Property, 1878 - 1966",,,,,
,,,,,,,,,,,,,,,,
4751077,,59,,P 238,,390,902,059,06,"6,14,17,23","Monthly Statistical and Exhibition Reports, 1945 - 1950
Record Group 59: General Records of the Department of State, 1763 - 2002",,"Box 6
China資料夾五個：1945-46年大陸與台灣電影放映資料
Box 14
Taiwan資料夾兩個（量較少)：1946台北電影放映資料
Box 17
China資料夾四個：1947大陸電影放映資料
Box 23
Taiwan資料夾兩個（量較少)：1947台灣其他機關組織放映資料",,,
,5449511,59,,P 238,14,390,902,059,06,"6,14,17,23","[Taiwan 1946]
Series: Monthly Statistical and Exhibition Reports, 1945 - 1950
Record Group 59: General Records of the Department of State, 1763 - 2002",,,,,
,5449510,59,,P 238,14,390,902,059,06,"6,14,17,23","[Taiwan 1946]
Series: Monthly Statistical and Exhibition Reports, 1945 - 1950
Record Group 59: General Records of the Department of State, 1763 - 2002",,,,,
,,,,,,,,,,,,,,,,
4700155,,306,,P 26,,350,073,010,04-07,"1-6,20","Administrative Files, 1949 - 1967
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003",,"國際貿易
分散、每份量不多
Box 1   (2967 Taiwan) 
       2   (2907 Export Problems)
       3   (RECOED OF IMG ISSUANCES 1959  TAIWAN) 
       4   (RECOED OF IMG ISSUANCES 1958-1962  TAIWAN 分散六個資料夾，量不多 ) 
       6   (contract amendment register by country) 
       20 (Taiwan 1960-1961)      ",,,
,4753703,306,,P 26,"20 
(OB8)",350,073,010,04-07,"1-6,20","Taiwan 1960-1961
Series: Administrative Files, 1949 - 1967
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003",,,,,
,4753503,306,,P 26,2,350,073,010,04-07,"1-6,20","Taiwan
Series: Administrative Files, 1949 - 1967
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003",,,"

",,
,4753502,306,,P 26,1,350,073,010,04-07,"1-6,20","Taiwan
Series: Administrative Files, 1949 - 1967
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003",,,,,
,4753459,306,,P 26,2,350,073,010,04-07,"1-6,20","Taiwan
Series: Administrative Files, 1949 - 1967
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003",,,,,
,4753458,306,,P 26,1,350,073,010,04-07,"1-6,20","Taiwan
Series: Administrative Files, 1949 - 1967
Record Group 306: Records of the U.S. Information Agency, 1900 - 2003",,,,,
,,,,,,,,,,,,,,,,
1487627,,59,,P 14,,250,,,,,"Records of Deputy Secretary Warren Christopher, 1977 - 1980
Record Group 59: General Records of the Department of State, 1763 - 2002",,,,,
,3303795,59,,P 14,63,250,065,031,01-07,62-63,"Taiwan VI
Series: Records of Deputy Secretary Warren Christopher, 1977 - 1980
Record Group 59: General Records of the Department of State, 1763 - 2002",,"國務卿Warren Christopher與台灣外交資料 (中美斷交)
box 62  四資料夾
box 63  二資料夾",,,
,3303794,59,,P 14,63,250,065,031,01-07,62-63,Taiwan V,,,,,
,3303793,59,,P 14,62,250,065,031,01-07,62-63,Taiwan IV,,,,,
,3303792,59,,P 14,62,250,065,031,01-07,62-63,Taiwan III,,,,,
,3303791,59,,P 14,62,250,065,031,01-07,62-63,Taiwan II,,,,,
,3303790,59,,P 14,62,250,065,031,01-07,62-63,Taiwan I,,,,,
,3303460,59,,P 14,15,250,065,031,01-07,15,"Taiwan Omnibus Legislation
Series: Records of Deputy Secretary Warren Christopher, 1977 - 1980
Record Group 59: General Records of the Department of State, 1763 - 2002",,box 15 四資料夾，斷交後與美重建非官方關係資料、外交細項,,,
,3303459,59,,P 14,15,250,065,031,01-07,15,"Taiwan Omnibus BillSeries: Records of Deputy Secretary Warren Christopher, 1977 - 1980
Record Group 59: General Records of the Department of State, 1763 - 2002",,,,,
,3303461,59,,P 14,15,250,065,031,01-07,15,"SFRC Testimony Re Relations with Taiwan, 11/15/79
Series: Records of Deputy Secretary Warren Christopher, 1977 - 1980
Record Group 59: General Records of the Department of State, 1763 - 2002",,,,,
,3303462,59,,P 14,15,250,065,031,01-07,15,"Taiwan Testimony--11/15/79
Series: Records of Deputy Secretary Warren Christopher, 1977 - 1980
Record Group 59: General Records of the Department of State, 1763 - 2002",,,,,
,3303452,59,,P 14,14,250,065,030,06-07,13-14,"Taiwan Resolution
Series: Records of Deputy Secretary Warren Christopher, 1977 - 1980
Record Group 59: General Records of the Department of State, 1763 - 2002",,"國務卿Warren Christopher與台灣外交資料
box13  二資料夾
box14  三資料夾",,,
,3303453,59,,P 14,14,250,065,030,06-07,13-14,"Taiwan: Legal Background
Series: Records of Deputy Secretary Warren Christopher, 1977 - 1980
Record Group 59: General Records of the Department of State, 1763 - 2002",,,,,
,3303458,59,,P 14,14,250,065,030,06-07,13-14,"Taiwan Omnibus Bill Testimony, 2/5/79
Series: Records of Deputy Secretary Warren Christopher, 1977 - 1980
Record Group 59: General Records of the Department of State, 1763 - 2002",,,,,
,3303451,59,,P 14,13,250,065,030,06-07,13-14,"Taiwan Omnibus Bill Testimony
Series: Records of Deputy Secretary Warren Christopher, 1977 - 1980
Record Group 59: General Records of the Department of State, 1763 - 2002",,,,,
,3303450,59,,P 14,13,250,065,030,06-07,13-14,"MTG w/ Baker, Goldwater, Stone re Termination of Agreements with Taiwan, 1979",,,,,
,3303445,59,,P 14,12,250,065,030,06-07,12,"Taiwan Foreign Relations Committee Hearings
Series: Records of Deputy Secretary Warren Christopher, 1977 - 1980
Record Group 59: General Records of the Department of State, 1763 - 2002",,box12  一資料本（厚）,,,
,,,,,,,,,,,,,,,,
2570731,,59,,A1 5076,,250,067,018,01-07,"9,36","Records Relating to American Sponsored Schools, 1959 - 1964
Record Group 59: General Records of the Department of State, 1763 - 2002",,"美國學校
box 36  四資料夾
box 9    一資料夾",,,
